,Time,Balance
0,1641765631,1050.88
1,1641772440,1043.85
2,1641827400,1033.77
3,1641856200,1030.9
4,1641914700,1024.51
5,1641939120,1019.62
6,1641999600,1016.62
7,1642020120,1004.93
8,1642028820,1000.34
9,1642087380,997.34
10,1642095660,992.75
11,1642122420,989.88
12,1642173300,986.88
13,1642201260,978.73
14,1642268100,975.03
15,1642293000,963.06
16,1642354260,957.19
17,1642357020,955.3
18,1642373340,953.2
19,1642435620,949.64
20,1642451280,937.81
21,1642469880,933.42
22,1642519500,930.77
23,1642521660,926.18
24,1642541460,922.58
25,1642542600,915.54
26,1642558740,908.85
27,1642615080,904.45
28,1642640100,901.76
29,1642641000,899.56
30,1642692540,896.56
31,1642713960,892.19
32,1642718340,889.0
33,1642726800,885.87
34,1642783260,883.77
35,1642783680,879.18
36,1642810680,876.31
37,1642872960,872.61
38,1642894380,868.67
39,1642896840,866.47
40,1642961100,863.15
41,1642977600,857.26
42,1642979640,855.06
43,1643045940,851.78
44,1643048700,847.54
45,1643074740,845.34
46,1643124420,843.84
47,1643127180,835.76
48,1643145960,831.95
49,1643149440,828.76
50,1643161920,825.37
51,1643218680,822.47
52,1643229780,820.28
53,1643245080,816.71
54,1643297160,813.71
55,1643319120,809.34
56,1643323980,807.35
57,1643392200,803.75
58,1643396700,799.11
59,1643413800,797.26
60,1643477880,794.02
